ID,Year,Averate,TotalrateNO
8395,1997,3.3,175
8396,1991,3.2,409
8397,1967,3.4,952
8398,2003,3.1,252
8399,1999,2.8,1399
8400,2004,3.6,1856
8401,1997,2.0,144
8402,2003,2.9,117
8403,2004,2.5,397
8404,1996,3.1,1261
8405,1987,3.3,11155
8406,1991,3.4,1069
8407,1972,2.4,113
8408,2002,3.4,292
8409,1987,2.9,1618
8410,1933,2.5,116
8411,2004,3.1,159
8412,2004,2.8,294
8413,2003,3.4,39983
8414,1952,3.8,190
8415,1976,3.1,155
8416,1995,2.6,165
8417,2001,2.8,269
8418,1995,2.9,1719
8419,2001,3.0,994
8420,2004,2.9,479
8421,2002,3.6,314
8422,1998,3.0,98
8423,2002,3.0,3138
8424,1998,2.9,356
8425,2000,2.5,907
8426,1981,3.9,635
8427,2001,3.1,785
8428,2000,3.6,13398
8429,1991,3.1,13266
8430,1996,3.5,87
8431,2001,2.3,390
8432,1971,3.2,3023
8433,2000,3.1,863
8434,2000,2.6,950
8435,1998,2.3,158
8436,2005,4.0,911
8437,1998,3.3,7115
8438,1998,4.2,21197
8439,2000,2.6,224
8440,1994,3.5,304
8441,2003,4.0,110
8442,2004,4.0,1394
8443,2003,4.2,143
8444,1998,3.5,173
8445,2001,2.6,232
8446,1989,3.0,89
8447,2001,4.4,31248
8448,2003,2.8,1216
8449,1999,3.0,238
8450,1981,3.0,141
8451,1955,3.7,1514
8452,1991,3.1,371
8453,1978,3.0,1681
8454,1985,3.8,1929
8455,1999,1.9,309
8456,1999,3.2,335
8457,2000,2.5,484
8458,1999,3.2,144
8459,1996,2.4,69
8460,2000,2.7,93
8461,1976,3.6,416
8462,1960,3.1,272
8463,1981,3.4,5653
8464,1973,2.5,157
8465,1992,2.5,684
8466,1991,3.1,555
8467,1996,3.4,42633
8468,2002,4.5,12921
8469,1995,3.5,3449
8470,1986,3.0,3599
8471,1999,2.9,962
8472,2001,3.1,102
8473,1936,3.9,848
8474,1992,2.2,561
8475,2004,3.0,104
8476,1983,2.7,322
8477,1987,3.3,400
8478,2002,3.5,108
8479,2001,3.1,353
8480,1987,3.7,971
8481,1965,3.3,173
8482,2004,3.7,146
8483,2002,2.9,21227
8484,2004,3.9,109
8485,1983,2.0,123
8486,1994,3.1,235
8487,2005,2.2,234
8488,2004,3.4,508
8489,2004,2.1,3814
8490,1968,2.8,143
8491,2000,2.1,151
8492,1999,3.3,2842
8493,1979,3.5,7087
8494,1960,2.6,96
8495,2002,2.7,241
8496,1983,4.0,3828
8497,1971,3.7,4220
8498,1995,2.8,2169
8499,2003,2.8,1103
8500,2002,3.4,392
8501,1964,3.0,116
8502,1995,3.1,487
8503,1959,3.4,181
8504,1976,2.9,681
8505,1969,3.6,1872
8506,2001,3.1,486
8507,1983,3.6,12187
8508,1965,4.1,110
8509,1999,2.6,141
8510,2005,3.2,322
8511,1958,3.8,5584
8512,1999,3.5,27977
8513,2004,2.1,660
8514,2001,2.5,99
8515,1986,3.7,4296
8516,1992,3.2,227
8517,1999,3.8,2179
8518,1997,3.2,5078
8519,2000,3.1,154
8520,1987,2.0,182
8521,2003,2.8,519
8522,1941,3.8,2406
8523,2003,3.3,2552
8524,2003,4.0,23792
8525,2004,3.3,18708
8526,1961,3.9,14280
8527,2005,2.9,107
8528,2003,3.2,536
8529,2002,2.5,479
8530,1991,3.3,628
8531,1986,4.0,33599
8532,1983,2.8,75
8533,2000,3.2,309
8534,2002,3.0,740
8535,1990,4.4,18593
8536,1979,3.7,4840
8537,2003,2.2,385
8538,2003,4.2,608
8539,1919,3.8,4105
8540,1975,3.9,668
8541,1964,3.9,7192
8542,1999,2.3,89
8543,1993,2.6,1658
8544,2001,2.8,8085
8545,2004,3.6,10371
8546,1998,2.8,151
8547,1940,3.4,814
8548,2004,2.7,152
8549,1995,3.5,3208
8550,1950,3.4,171
8551,1985,2.9,239
8552,1983,3.6,7278
8553,1999,3.0,198
8554,1996,3.3,194
8555,2005,2.5,1417
8556,1987,3.4,198
8557,2003,3.6,2305
8558,1997,3.4,193
8559,2002,3.8,255
8560,1991,3.3,123
8561,1941,3.2,246
8562,1977,3.6,1703
8563,1990,3.5,8095
8564,2005,2.9,588
8565,1991,2.4,153
8566,2002,2.7,186
8567,2003,2.9,2881
8568,2000,3.2,3348
8569,1994,3.5,9446
8570,1996,3.6,212
8571,1997,4.2,7994
8572,1942,4.0,3308
8573,2004,3.5,110
8574,2002,3.4,4872
8575,2000,2.7,1397
8576,1999,2.8,299
8577,1978,2.9,113
8578,1986,3.1,536
8579,1992,2.7,108
8580,1999,4.3,9062
8581,1959,3.7,546
8582,2001,2.8,221
8583,1998,3.7,6717
8584,2003,3.5,14717
8585,1979,3.6,35505
8586,1972,3.9,10880
8587,2004,3.2,120
8588,1978,3.0,127
8589,1997,2.7,2207
8590,2004,3.1,1864
8591,1982,4.0,2609
8592,2001,2.3,131
8593,2000,2.7,214
8594,1999,3.4,398
8595,1998,3.4,4304
8596,1995,4.1,99324
8597,2003,3.0,254
8598,1992,3.4,4349
8599,2004,3.5,390
8600,2001,3.9,690
8601,1997,3.3,239
8602,1972,3.8,1584
8603,2002,3.6,18706
8604,1963,3.2,303
8605,1958,3.7,2551
8606,1998,3.7,990
8607,2003,3.8,127
8608,1963,3.1,554
8609,1982,3.9,1158
8610,2005,2.7,148
8611,1999,2.4,142
8612,2002,2.9,1271
8613,1959,3.9,6598
8614,2002,3.3,1235
8615,1989,2.6,98
8616,1996,3.4,168
8617,1989,3.2,467
8618,2001,3.5,1328
8619,1985,3.3,28511
8620,1959,3.0,113
8621,1976,3.7,3261
8622,1993,3.9,181
8623,1985,3.0,3679
8624,1997,4.0,3282
8625,2003,2.3,194
8626,1955,3.7,677
8627,1982,3.7,20331
8628,1993,2.3,227
8629,2002,2.8,1922
8630,1985,3.4,2096
8631,2002,2.9,1918
8632,2000,2.8,947
8633,1991,3.2,1242
8634,1964,3.6,2119
8635,2004,3.2,29223
8636,2003,3.3,80519
8637,2004,3.8,11238
8638,2000,3.1,2035
8639,2005,2.6,153
8640,2003,4.2,1431
8641,1998,3.2,8027
8642,2004,3.2,93
8643,2004,3.2,2031
8644,2002,3.8,141073
8645,2001,3.2,2327
8646,1994,2.4,178
8647,2000,3.2,566
8648,1998,2.0,303
8649,1999,2.9,148
8650,1986,3.4,543
8651,1999,3.4,35955
8652,1980,3.5,3767
8653,1963,2.9,119
8654,1984,3.9,1236
8655,1998,2.6,194
8656,1993,3.7,470
8657,2002,2.4,182
8658,2002,3.0,137
8659,1934,3.4,222
8660,1997,3.5,470
8661,2004,3.1,152
8662,1995,3.3,641
8663,2004,3.0,662
8664,2001,4.3,3775
8665,2001,3.1,903
8666,1940,3.8,5193
8667,1974,3.2,1120
8668,1992,2.9,71
8669,1996,3.6,22529
8670,1999,3.2,322
8671,2004,2.8,1767
8672,2001,2.8,220
8673,2003,3.2,512
8674,1962,3.8,161
8675,1994,3.8,2040
8676,1995,3.4,1955
8677,1960,3.9,17034
8678,1998,4.0,4977
8679,1991,3.3,9391
8680,2004,4.0,235
8681,1992,2.9,142
8682,1965,3.9,13674
8683,1966,3.8,5025
8684,1996,3.3,107
8685,1956,3.5,1272
8686,1944,2.7,154
8687,2002,3.5,92671
8688,1986,4.2,1492
8689,1981,3.0,505
8690,2003,3.0,79
8691,1998,3.7,6455
8692,2004,3.4,180
8693,1999,3.5,929
8694,1981,3.2,1157
8695,2001,3.8,774
8696,2001,2.5,477
8697,2002,3.0,344
8698,1999,4.0,2280
8699,1990,3.5,5514
8700,1980,3.7,3059
8701,1997,3.1,113
8702,1998,2.9,151
8703,2004,3.4,1974
8704,2000,3.0,142
8705,1999,2.9,2629
8706,1969,2.5,203
8707,2003,4.0,1273
8708,1940,3.6,1188
8709,1993,3.1,1595
8710,2003,2.1,460
8711,2003,3.8,4190
8712,1954,3.4,482
8713,1976,3.3,642
8714,2004,2.4,435
8715,1999,2.4,108
8716,1990,3.0,290
8717,1963,4.0,19073
8718,1997,3.1,126
8719,2003,4.0,3218
8720,1998,2.4,168
8721,2002,3.0,183
8722,1983,3.3,3486
8723,1986,3.4,73
8724,2001,2.9,135
8725,2002,2.8,736
8726,1994,3.0,186
8727,1981,2.4,106
8728,2001,3.0,9937
8729,1991,3.0,134
8730,1985,3.8,264
8731,1981,3.0,371
8732,1984,3.4,328
8733,1989,3.7,1020
8734,1992,1.9,148
8735,1969,2.7,121
8736,1990,3.4,7436
8737,1956,3.3,144
8738,1990,3.4,147
8739,2002,3.4,230
8740,1985,3.4,1438
8741,2001,3.2,185
8742,2005,3.6,2899
8743,2002,3.9,82849
8744,1971,4.0,14083
8745,1989,3.2,931
8746,1973,2.9,84
8747,2001,3.6,307
8748,2004,3.9,179
8749,1993,2.6,169
8750,2002,1.9,470
8751,1999,3.2,3283
8752,1996,3.6,5983
8753,1992,3.8,18286
8754,1997,3.5,16890
8755,1982,3.7,2045
8756,2001,3.9,1418
8757,1968,3.4,189
8758,2000,3.4,1328
8759,1975,3.5,1065
8760,2005,3.9,2085
8761,1995,3.6,450
8762,1994,1.7,109
8763,1989,3.1,620
8764,1996,3.9,91369
8765,1990,3.4,729
8766,1968,2.6,134
8767,2001,2.6,2232
8768,2000,2.9,294
8769,2003,3.7,202
8770,1998,3.9,1068
8771,2004,3.2,482
8772,2004,2.6,152
8773,1993,3.7,5400
8774,2001,4.2,2797
8775,2003,3.5,906
8776,1999,2.9,169
8777,2003,3.8,462
8778,1964,3.7,2029
8779,2002,3.9,662
8780,2002,3.5,2272
8781,1998,3.5,2770
8782,2001,3.3,147251
8783,2000,2.6,190
8784,1991,3.6,20409
8785,1981,3.3,98
8786,2002,2.5,114
8787,2000,2.6,137
8788,2003,1.9,126
8789,1987,3.1,325
8790,1929,3.9,1222
8791,2005,3.3,130
8792,2001,3.5,258
8793,1978,3.1,2015
8794,1996,3.0,225
8795,1989,3.3,1023
8796,2004,2.4,82
8797,1985,3.2,429
8798,1970,2.0,119
8799,1967,3.4,587
8800,2003,3.2,205
8801,2002,3.8,3473
8802,2004,2.9,255
8803,1991,3.5,21739
8804,2002,3.3,251
8805,1953,3.8,1076
8806,1966,4.0,42691
8807,2004,2.8,125
8808,2001,3.4,11786
8809,2002,3.4,36519
8810,2002,3.1,164
8811,2003,3.5,246
8812,1984,3.7,726
8813,1980,2.9,167
8814,2003,4.0,2751
8815,1992,3.6,4365
8816,1990,2.8,147
8817,1999,2.6,279
8818,1986,3.5,25873
8819,2003,3.5,482
8820,2004,3.3,303
8821,1915,2.9,2546
8822,2003,3.1,113
8823,1983,1.9,88
8824,2001,3.5,1088
8825,1992,3.6,3608
8826,1996,3.4,21787
8827,1998,3.6,10325
8828,1971,3.5,108
8829,1964,3.5,1267
8830,1997,3.4,4235
8831,2005,2.9,106
8832,1941,4.0,61758
8833,1922,3.3,114
8834,1986,3.1,117
8835,2004,3.4,1033
8836,2004,3.8,323
8837,1997,3.3,8748
8838,1999,2.9,188
8839,1990,3.1,5043
8840,1996,4.0,57033
8841,2005,3.7,90
8842,1999,3.5,301
8843,1969,3.0,546
8844,2003,3.4,139
8845,2001,3.3,2667
8846,1999,3.6,62547
8847,1946,3.2,197
8848,1994,3.8,4294
8849,1997,3.2,4158
8850,2000,2.0,92
8851,1998,3.8,38628
8852,1999,3.5,989
8853,2000,2.9,1545
8854,1989,3.6,4549
8855,1996,3.4,705
8856,1980,2.1,140
8857,1989,3.1,5848
8858,2003,3.6,36
8859,1992,2.8,545
8860,1984,4.1,1515
8861,1960,3.6,4885
8862,1939,2.8,120
8863,1993,3.1,340
8864,1939,3.2,180
8865,1934,3.3,159
8866,2003,3.0,146
8867,1993,3.1,4001
8868,1977,3.8,2666
8869,1960,4.1,2775
8870,1982,3.0,452
8871,2001,2.8,1232
8872,1997,3.3,15806
8873,2004,3.5,205
8874,1981,2.7,101
8875,1991,2.9,104
8876,2002,3.5,81
8877,1986,3.5,4650
8878,2004,3.4,1649
8879,1973,3.1,197
8880,1992,3.5,4818
8881,1987,3.4,32685
8882,2001,2.6,160
8883,1973,3.9,19131
8884,2002,3.0,2715
8885,1993,3.3,1147
8886,2003,3.9,961
8887,2005,3.8,317
8888,1997,2.7,229
8889,1976,3.1,617
8890,1936,3.5,231
8891,1995,3.1,92
8892,2004,3.8,817
8893,1997,4.2,1221
8894,1988,3.7,400
8895,2005,3.1,1038
8896,2002,3.0,456
8897,1999,2.6,378
8898,1991,3.3,8741
8899,2000,3.5,403
8900,2000,3.1,269
8901,1990,2.6,3612
8902,1958,3.5,528
8903,1998,3.1,6235
8904,1997,4.2,120697
8905,2001,3.3,468
8906,1995,2.3,276
8907,1989,3.7,763
8908,1969,3.8,7358
8909,2001,3.0,105
8910,1947,3.2,388
8911,2004,3.0,7949
8912,1975,3.8,445
8913,1999,3.6,216
8914,1978,3.0,364
8915,1991,4.0,72833
8916,1984,3.6,927
8917,1972,2.0,157
8918,2004,3.2,1891
8919,1999,3.4,1205
8920,1988,2.7,1352
8921,2004,2.6,120
8922,2003,2.6,943
8923,1952,3.0,212
8924,2002,2.6,171
8925,1948,3.8,142
8926,1975,3.1,201
8927,2000,2.7,127
8928,2002,3.2,29392
8929,2003,3.0,158
8930,1995,3.0,4091
8931,1998,2.3,200
8932,1949,3.2,268
8933,1952,4.0,111
8934,2003,3.7,56
8935,1992,4.0,554
8936,1997,2.6,288
8937,2001,3.0,191
8938,1994,2.9,4394
8939,1990,2.6,135
8940,2000,4.0,2820
8941,1986,3.3,130
8942,2004,3.0,3534
8943,1993,4.2,364
8944,2005,3.2,196
8945,1991,3.5,6644
8946,1987,3.5,301
8947,2001,3.0,142
8948,1997,3.9,476
8949,1970,2.8,144
8950,1936,3.3,292
8951,1959,3.8,734
8952,2001,2.3,154
8953,2003,2.8,113
8954,2002,3.8,53786
8955,1997,2.9,220
8956,2003,3.4,258
8957,1955,3.5,466
8958,2004,4.0,7033
8959,2003,3.7,123
8960,1989,3.7,13151
8961,1966,3.7,1741
8962,2001,3.1,113
8963,2004,3.5,751
8964,2003,4.6,25
8965,2004,2.6,70
8966,2003,3.4,31593
8967,1978,3.3,164
8968,1975,2.8,146
8969,2000,3.1,217
8970,2003,4.1,1213
8971,1975,2.8,112
8972,2000,2.6,191
8973,2004,3.5,131
8974,1999,3.1,226
8975,1997,3.7,809
8976,1950,3.9,18525
8977,1955,3.5,4574
8978,2000,2.1,151
8979,1992,3.9,1075
8980,1950,3.9,6440
8981,2000,3.1,39220
8982,2003,3.8,2185
8983,1980,3.1,160
8984,1956,2.9,679
8985,1995,3.5,2903
8986,2004,3.6,803
8987,1999,2.7,4374
8988,1960,2.8,150
8989,2001,3.6,37267
8990,1976,3.0,273
8991,1965,3.2,381
8992,1995,2.8,174
8993,2005,4.1,11789
8994,2004,3.1,982
8995,1999,2.5,118
8996,2004,2.8,128
8997,1992,3.9,1403
8998,1962,4.1,2411
8999,2001,3.1,250
9000,1996,3.3,5864
9001,1915,3.3,169
9002,1998,2.0,110
9003,1980,3.5,22890
9004,2003,3.2,169
9005,1987,3.2,6183
9006,2004,3.7,234
9007,2003,2.8,340
9008,1969,3.2,174
9009,1981,3.4,235
9010,1994,3.6,237
9011,1997,3.0,160
9012,2004,3.9,2264
9013,2000,3.7,802
9014,1939,3.7,6487
9015,2004,2.8,1705
9016,1997,3.4,2150
9017,1945,2.8,146
9018,1973,3.1,279
9019,1993,3.0,317
9020,1999,2.7,164
9021,2000,3.7,250
9022,2003,2.4,237
9023,1997,4.0,11092
9024,1998,3.3,1277
9025,1993,3.1,519
9026,1968,2.9,75
9027,1986,3.5,4028
9028,1992,3.7,4271
9029,1997,3.0,479
9030,1987,2.6,122
9031,1944,3.4,403
9032,1985,3.4,22091
9033,2003,3.0,1390
9034,1951,4.0,453
9035,1999,2.7,215
9036,2003,2.9,1654
9037,1970,3.5,10612
9038,2004,3.9,1403
9039,2004,3.9,178
9040,1999,4.0,141
9041,1957,3.6,2290
9042,1957,3.9,6400
9043,1981,3.5,20058
9044,2002,3.8,2031
9045,1987,2.5,236
9046,1990,3.9,282
9047,2002,3.9,803
9048,2003,3.7,19431
9049,1997,3.6,71639
9050,2002,1.7,129
9051,1980,3.9,78795
9052,2001,4.0,306
9053,2001,1.7,126
9054,2004,3.4,39031
9055,2001,3.1,2053
9056,1985,3.0,699
9057,1999,2.1,132
9058,1980,2.8,1876
9059,1994,3.1,960
9060,1976,2.7,113
9061,1948,4.0,2198
9062,1991,3.1,3723
9063,2004,4.1,137
9064,1997,2.9,282
9065,1996,3.4,585
9066,1979,2.7,997
9067,1994,3.2,128
9068,1985,3.4,171
9069,2004,2.9,218
9070,1992,3.0,2004
9071,2003,3.5,196
9072,1997,3.3,3997
9073,2002,2.6,618
9074,1986,3.7,17257
9075,1969,2.5,113
9076,1954,3.9,2948
9077,2003,3.6,231
9078,2003,3.1,98
9079,2004,1.9,500
9080,2000,3.0,10686
9081,1984,3.0,309
9082,1973,3.3,418
9083,1967,2.7,74
9084,2000,3.5,169
9085,1999,1.9,80
9086,1993,2.1,134
9087,1992,3.1,4198
9088,2004,3.7,320
9089,1975,3.7,6802
9090,2001,2.6,287
9091,1967,3.0,96
9092,1994,3.6,3637
9093,2004,2.5,162
9094,2002,3.2,832
9095,1997,3.3,7021
9096,2001,2.8,254
9097,1986,3.3,7872
9098,1988,3.3,2469
9099,1988,2.8,294
9100,1983,3.5,589
9101,1991,4.1,2583
9102,1989,3.4,170
9103,1914,2.9,154
9104,2001,3.1,91
9105,2005,1.9,212
9106,1944,3.7,918
9107,1993,3.4,113
9108,2002,3.0,6578
9109,1988,3.5,7491
9110,1998,3.5,22119
9111,1997,3.9,74779
9112,1999,3.1,4279
9113,1979,3.4,2047
9114,2003,2.8,240
9115,1934,3.6,498
9116,1994,3.6,13705
9117,1997,3.2,214
9118,2004,3.5,413
9119,1972,4.0,81
9120,1963,3.9,19669
9121,1954,3.2,580
9122,1933,3.1,144
9123,2004,3.0,126
9124,1996,3.6,27
9125,2001,3.4,19459
9126,2002,2.3,217
9127,2004,4.0,412
9128,1965,3.4,1345
9129,2005,3.4,839
9130,1990,3.4,543
9131,1990,3.1,9395
9132,1991,3.5,17466
9133,1997,3.8,1338
9134,2004,2.4,5742
9135,1988,3.6,98
9136,2001,3.5,8805
9137,1999,2.5,163
9138,1999,2.6,159
9139,2002,3.3,173
9140,2003,2.1,364
9141,2002,4.2,1412
9142,1988,2.0,194
9143,1998,3.2,292
9144,1974,4.1,31743
9145,2005,3.7,127
9146,1998,3.2,5814
9147,1986,3.6,1169
9148,1991,3.2,244
9149,2000,2.8,215
9150,2003,4.1,4104
9151,2002,2.9,543
9152,1990,3.1,2625
9153,2003,1.8,138
9154,1984,2.2,2286
9155,2002,3.7,194
9156,2002,3.6,25181
9157,1998,2.3,107
9158,1994,3.7,102
9159,2000,3.9,240
9160,2002,3.5,23062
9161,1997,2.6,149
9162,1991,3.1,133
9163,1977,2.7,64
9164,2004,3.5,652
9165,2002,3.7,890
9166,1997,3.1,122
9167,1998,2.6,73
9168,1999,2.9,102
9169,1966,3.6,2907
9170,2001,3.5,40251
9171,1943,3.5,160
9172,1996,1.9,76
9173,2003,3.9,196
9174,1961,3.7,1155
9175,1976,3.8,7694
9176,2001,2.5,109
9177,2002,3.3,702
9178,1979,3.0,392
9179,1962,3.6,377
9180,2002,2.6,1191
9181,1992,2.7,90
9182,2001,3.2,225
9183,1994,2.2,315
9184,1987,3.4,111
9185,2002,2.7,365
9186,2004,2.2,243
9187,2004,3.1,686
9188,1988,3.2,79062
9189,1995,3.9,62604
9190,2000,3.5,750
9191,1972,4.0,702
9192,1964,3.6,1946
9193,1992,3.9,420
9194,2002,3.1,180
9195,1999,3.7,561
9196,2005,3.4,56
9197,2004,2.6,3875
9198,1985,3.4,1241
9199,1974,3.5,753
9200,2000,2.9,155
9201,1996,3.2,1279
9202,1963,3.7,553
9203,2000,2.7,130
9204,1990,3.7,13501
9205,1989,3.3,65933
9206,1948,3.8,2450
9207,1979,3.2,1455
9208,1985,3.9,18969
9209,2002,2.6,123
9210,2002,3.3,1804
9211,1995,2.4,504
9212,1994,3.7,841
9213,1999,3.1,143
9214,1988,2.4,364
9215,1985,3.5,375
9216,1996,3.1,327
9217,1981,3.5,8808
9218,1986,3.7,2369
9219,2004,2.4,226
9220,2004,2.9,323
9221,2004,3.4,105
9222,1996,3.3,2430
9223,1974,3.3,1951
9224,1999,3.6,9982
9225,2003,2.8,289
9226,1997,2.9,194
9227,1989,3.0,88
9228,1972,3.7,3895
9229,1988,3.5,10663
9230,1983,3.4,451
9231,2003,3.3,3747
9232,2003,3.0,14685
9233,1986,3.0,931
9234,1998,3.2,15704
9235,1997,3.5,20214
9236,1998,4.1,17307
9237,1990,3.5,3165
9238,2003,3.1,2485
9239,1979,2.8,318
9240,1990,3.4,12717
9241,2000,3.5,10441
9242,1999,3.9,17986
9243,1991,3.4,1032
9244,2000,2.6,233
9245,2002,2.0,134
9246,1993,3.9,1324
9247,2003,3.8,231
9248,1992,3.2,158
9249,2000,2.8,83
9250,2005,3.5,45
9251,1991,2.0,395
9252,2004,3.0,330
9253,1921,3.2,171
9254,1985,4.0,72884
9255,2002,3.0,438
9256,1994,3.2,1335
9257,2002,3.3,2031
9258,1938,3.0,152
9259,1973,3.1,188
9260,1997,3.9,1970
9261,2002,3.0,115
9262,1993,3.0,2032
9263,2003,3.0,117
9264,1999,2.7,115
9265,1992,3.4,32960
9266,2000,3.1,192
9267,1990,2.9,331
9268,1999,3.0,253
9269,2001,2.4,134
9270,1998,3.2,1205
9271,1993,3.4,1511
9272,1988,3.1,1148
9273,2004,2.3,630
9274,2002,4.0,4244
9275,2004,2.9,281
9276,2002,3.1,5068
9277,1953,3.0,335
9278,1998,2.5,1228
9279,2001,3.3,19834
9280,2004,2.8,1724
9281,1961,3.4,234
9282,2005,3.1,156
9283,2003,3.3,767
9284,1988,1.6,116
9285,2001,3.6,1029
9286,2005,3.8,272
9287,1978,2.3,89
9288,1995,3.2,4153
9289,2003,3.6,1814
9290,2000,3.1,805
9291,1975,3.0,131
9292,2004,3.9,993
9293,1960,3.3,323
9294,1972,3.6,2585
9295,1983,3.7,8353
9296,2001,3.9,2427
9297,1998,3.5,88
9298,1996,3.4,27256
9299,1983,2.7,184
9300,2000,2.0,316
9301,1934,3.0,106
9302,1982,2.0,213
9303,1956,3.4,2016
9304,1998,3.2,694
9305,1969,3.3,121
9306,1995,2.9,1150
9307,1979,3.8,497
9308,1995,2.8,315
9309,1998,3.0,3439
9310,1972,3.5,4368
9311,1955,3.6,229
9312,1990,3.0,128
9313,2000,2.5,116
9314,1960,3.5,827
9315,1997,2.3,80
9316,1999,2.8,937
9317,1999,3.4,1234
9318,1979,2.7,90
9319,2000,3.1,638
9320,1994,3.7,9271
9321,1999,3.3,344
9322,1979,3.7,1297
9323,1993,3.4,2138
9324,1999,3.8,786
9325,2003,3.1,350
9326,2003,4.2,7683
9327,1999,4.1,4427
9328,1999,3.1,293
9329,1993,3.5,3899
9330,1965,4.0,17107
9331,1999,2.6,5435
9332,2004,3.7,415
9333,2002,2.3,153
9334,1939,3.7,1641
9335,2004,2.7,194
9336,1976,2.4,128
9337,1979,3.8,1000
9338,1988,3.1,964
9339,1999,2.3,828
9340,2001,3.4,173596
9341,1998,2.6,141
9342,2001,3.0,242
9343,2001,2.6,803
9344,2001,3.1,312
9345,2004,3.4,359
9346,2001,3.2,123
9347,1993,3.9,1372
9348,1999,3.6,1008
9349,2002,2.2,145
9350,2004,3.9,6176
9351,1967,3.5,5383
9352,2005,2.7,480
9353,2000,2.7,472
9354,1955,3.7,218
9355,1995,3.4,6824
9356,1952,3.1,117
9357,1963,2.9,157
9358,1990,1.7,103
9359,1986,3.6,9392
9360,2002,2.9,799
9361,2001,2.4,136
9362,1982,3.3,129
9363,1991,3.5,280
9364,2002,2.9,6005
9365,1997,3.0,348
9366,2003,3.1,134
9367,1987,3.2,1877
9368,1974,3.4,18889
9369,1987,2.8,149
9370,1939,3.8,374
9371,1972,3.3,157
9372,1984,2.0,71
9373,1931,3.0,264
9374,1966,3.3,297
9375,2002,2.4,131
9376,2002,3.4,129
9377,1937,3.6,804
9378,1984,3.9,36237
9379,2000,3.8,469
9380,1970,3.4,609
9381,1980,3.8,23772
9382,1997,3.9,2330
9383,1998,3.2,1107
9384,1970,3.2,585
9385,1996,2.9,117
9386,1999,2.4,91
9387,1977,2.5,2105
9388,1985,2.9,1448
9389,1996,2.7,8687
9390,2003,3.2,555
9391,2004,2.4,201
9392,1999,3.6,10325
9393,1940,3.8,627
9394,1976,3.5,510
9395,1998,3.7,13707
9396,1996,3.1,3647
9397,1973,3.9,517
9398,2004,3.5,5910
9399,1991,3.0,114
9400,1987,3.0,1009
9401,2003,2.0,101
9402,2000,2.4,131
9403,2004,2.1,121
9404,2004,3.2,142
9405,1998,2.3,80
9406,2001,3.7,1505
9407,1999,3.3,299
9408,1999,3.1,348
9409,1970,3.2,306
9410,2004,2.9,5798
9411,1999,3.0,320
9412,2003,1.9,287
9413,1991,3.0,143
9414,1963,3.4,1444
9415,2005,3.4,36238
9416,1957,3.6,1016
9417,2001,2.8,1128
9418,1999,4.1,3083
9419,1974,3.2,244
9420,1999,2.1,115
9421,2000,3.0,1717
9422,2000,3.2,874
9423,1968,3.3,709
9424,1982,3.2,349
9425,1950,3.2,328
9426,1986,4.0,64175
9427,2003,3.5,271
9428,2001,3.6,744
9429,1993,3.2,2277
9430,2003,2.9,3055
9431,2000,2.6,3766
9432,1997,3.2,6433
9433,1971,4.0,25905
9434,2001,2.9,117
9435,2000,2.8,1202
9436,2002,4.5,412
9437,1972,3.2,232
9438,2000,3.6,16172
9439,1998,2.2,192
9440,1985,3.8,5025
9441,1996,2.4,223
9442,2004,3.6,51262
9443,1998,3.4,2740
9444,1992,3.4,601
9445,1994,3.8,1405
9446,2004,2.2,152
9447,2005,3.2,113
9448,2004,3.6,326
9449,1957,3.2,385
9450,2005,2.9,163
9451,1989,2.4,128
9452,2002,2.5,321
9453,2000,3.4,906
9454,2001,2.6,105
9455,1967,3.6,576
9456,2004,3.8,207
9457,2004,3.2,133
9458,2005,3.5,21292
9459,1988,3.4,8216
9460,2005,3.6,115
9461,1994,2.5,3257
9462,1980,2.8,268
9463,1986,3.7,173
9464,1998,3.0,114
9465,2004,3.5,108
9466,1960,3.1,405
9467,1967,2.2,167
9468,1997,3.4,302
9469,2003,2.6,5371
9470,2000,3.0,311
9471,2004,3.7,109385
9472,1962,4.0,7819
9473,1980,2.7,116
9474,2002,3.8,920
9475,1994,3.7,2328
9476,1986,2.1,181
9477,1986,3.0,169
9478,2005,1.8,195
9479,2002,3.8,3378
9480,1995,2.9,176
9481,1972,3.7,38279
9482,1992,3.8,1392
9483,1992,4.2,339
9484,2002,2.5,264
9485,1967,3.8,2611
9486,2004,3.8,383
9487,2002,4.0,1039
9488,2000,2.5,149
9489,1974,3.1,346
9490,2004,3.5,67
9491,1981,3.3,724
9492,2003,3.6,286
9493,2003,2.7,135
9494,1994,2.4,180
9495,2000,3.1,700
9496,2003,3.3,658
9497,1985,3.6,1845
9498,2004,3.9,3461
9499,1981,3.7,614
9500,2002,2.9,171
9501,2001,2.4,283
9502,1999,2.8,811
9503,2004,3.9,253
9504,1999,2.7,97
9505,1997,3.4,8844
9506,1968,3.8,153
9507,1988,3.4,34
9508,2004,3.1,27895
9509,1987,3.5,17224
9510,1985,3.7,530
9511,1987,3.3,2195
9512,2004,2.4,665
9513,1989,3.7,1525
9514,2002,3.3,114
9515,2000,2.7,508
9516,1995,3.1,1544
9517,1971,3.2,4281
9518,1995,2.5,10934
9519,1966,3.5,429
9520,1969,3.3,310
9521,1993,3.5,983
9522,1928,3.0,313
